s,C,mol/mol
Time,"TC_Center","CO_Center"
 1.0015027E+002, 1.5488051E+002, 8.5646648E-005
 1.0048193E+002, 1.5256857E+002, 9.8896827E-005
 1.0081360E+002, 1.5182298E+002, 1.1845203E-004
 1.0122818E+002, 1.5218328E+002, 1.3442970E-004
 1.0155984E+002, 1.5360625E+002, 1.4301239E-004
 1.0189150E+002, 1.5544382E+002, 1.5050345E-004
 1.0226996E+002, 1.5767110E+002, 1.6155904E-004
 1.0266155E+002, 1.6088937E+002, 1.7257461E-004
 1.0298664E+002, 1.6440918E+002, 1.7810406E-004
 1.0339300E+002, 1.6868171E+002, 1.9039039E-004
 1.0372622E+002, 1.7454800E+002, 2.2425052E-004
 1.0408382E+002, 1.8285752E+002, 2.7788914E-004
 1.0443095E+002, 1.9411189E+002, 3.3534099E-004
 1.0482557E+002, 2.0676394E+002, 3.4830778E-004
 1.0514127E+002, 2.1764248E+002, 3.1630436E-004
 1.0551573E+002, 2.2486990E+002, 2.6901730E-004
 1.0585994E+002, 2.2756675E+002, 2.2360524E-004
 1.0623168E+002, 2.2552407E+002, 1.9069153E-004
 1.0658153E+002, 2.2061869E+002, 1.7306073E-004
 1.0694804E+002, 2.1512208E+002, 1.7272608E-004
 1.0731455E+002, 2.1049487E+002, 1.7923584E-004
 1.0768106E+002, 2.0745928E+002, 1.8662293E-004
 1.0804758E+002, 2.0606696E+002, 1.9461575E-004
 1.0841409E+002, 2.0597676E+002, 2.0136680E-004
 1.0876823E+002, 2.0633873E+002, 2.0312874E-004
 1.0908526E+002, 2.0647736E+002, 2.0125089E-004
 1.0948948E+002, 2.0597633E+002, 1.9310980E-004
 1.0983822E+002, 2.0454664E+002, 1.8265426E-004
 1.1017730E+002, 2.0261993E+002, 1.7385924E-004
 1.1056493E+002, 2.0049389E+002, 1.7214010E-004
 1.1095256E+002, 1.9880267E+002, 1.7987994E-004
 1.1127816E+002, 1.9823207E+002, 1.9316128E-004
 1.1161928E+002, 1.9897465E+002, 2.1003966E-004
 1.1196039E+002, 2.0092225E+002, 2.2702707E-004
 1.1238679E+002, 2.0455537E+002, 2.4754216E-004
